ancestor_concept_code,descendant_concept_code,level_of_separation
N0000000065,N0000181010,1
N0000181010,N0000181010,0
N0000000223,N0000000085,1
N0000000223,N0000000213,2
N0000000223,N0000000067,3
N0000000223,N0000020006,4
N0000000223,N0000020008,5
N0000000085,N0000000085,0
N0000000085,N0000000213,1
N0000000085,N0000000067,2
N0000000085,N0000020006,3
N0000000085,N0000020008,4
N0000000213,N0000000213,0
N0000000213,N0000000067,1
N0000000213,N0000020006,2
N0000000213,N0000020008,3
N0000000067,N0000000067,0
N0000000067,N0000020006,1
N0000000067,N0000020008,2
N0000020006,N0000020006,0
N0000020006,N0000020008,1
N0000020008,N0000020008,0
N0000000223,N0000020010,5
N0000000085,N0000020010,4
N0000000213,N0000020010,3
N0000000067,N0000020010,2
N0000020006,N0000020010,1
N0000020010,N0000020010,0
N0000000223,N0000020012,5
N0000000085,N0000020012,4
N0000000213,N0000020012,3
N0000000067,N0000020012,2
N0000020006,N0000020012,1
N0000020012,N0000020012,0
N0000000223,N0000000240,3
N0000000223,N0000000071,4
N0000000085,N0000000240,2
N0000000085,N0000000071,3
N0000000213,N0000000240,1
N0000000213,N0000000071,2
N0000000240,N0000000240,0
N0000000240,N0000000071,1
N0000000071,N0000000071,0
N0000000223,N0000000225,4
N0000000085,N0000000225,3
N0000000213,N0000000225,2
N0000000240,N0000000225,1
N0000000225,N0000000225,0
N0000000223,N0000000077,3
N0000000223,N0000000217,4
N0000000085,N0000000077,2
N0000000085,N0000000217,3
N0000000213,N0000000077,1
N0000000213,N0000000217,2
N0000000077,N0000000077,0
N0000000077,N0000000217,1
N0000000217,N0000000217,0
N0000000223,N0000000081,3
N0000000085,N0000000081,2
N0000000213,N0000000081,1
N0000000081,N0000000081,0
N0000000223,N0000000093,3
N0000000223,N0000020028,4
N0000000085,N0000000093,2
N0000000085,N0000020028,3
N0000000213,N0000000093,1
N0000000213,N0000020028,2
N0000000093,N0000000093,0
N0000000093,N0000020028,1
N0000020028,N0000020028,0
N0000000223,N0000000137,3
N0000000223,N0000193927,4
N0000000085,N0000000137,2
N0000000085,N0000193927,3
N0000000213,N0000000137,1
N0000000213,N0000193927,2
N0000000137,N0000000137,0
N0000000137,N0000193927,1
N0000193927,N0000193927,0
N0000000223,N0000000189,3
N0000000223,N0000020029,4
N0000000085,N0000000189,2
N0000000085,N0000020029,3
N0000000213,N0000000189,1
N0000000213,N0000020029,2
N0000000189,N0000000189,0
N0000000189,N0000020029,1
N0000020029,N0000020029,0
N0000000223,N0000020070,3
N0000000223,N0000020071,4
N0000000085,N0000020070,2
N0000000085,N0000020071,3
N0000000213,N0000020070,1
N0000000213,N0000020071,2
N0000020070,N0000020070,0
N0000020070,N0000020071,1
N0000020071,N0000020071,0
N0000000223,N0000020072,4
N0000000085,N0000020072,3
N0000000213,N0000020072,2
N0000020070,N0000020072,1
N0000020072,N0000020072,0
N0000000223,N0000000152,2
N0000000223,N0000000068,3
N0000000223,N0000000136,4
N0000000085,N0000000152,1
N0000000085,N0000000068,2
N0000000085,N0000000136,3
N0000000152,N0000000152,0
N0000000152,N0000000068,1
N0000000152,N0000000136,2
N0000000068,N0000000068,0
N0000000068,N0000000136,1
N0000000136,N0000000136,0
N0000000223,N0000000158,4
N0000000085,N0000000158,3
N0000000152,N0000000158,2
N0000000068,N0000000158,1
N0000000158,N0000000158,0
N0000000223,N0000000070,3
N0000000223,N0000180999,4
N0000000085,N0000000070,2
N0000000085,N0000180999,3
N0000000152,N0000000070,1
N0000000152,N0000180999,2
N0000000070,N0000000070,0
N0000000070,N0000180999,1
N0000180999,N0000180999,0
N0000000223,N0000000124,3
N0000000223,N0000000083,4
N0000000085,N0000000124,2
N0000000085,N0000000083,3
N0000000152,N0000000124,1
N0000000152,N0000000083,2
N0000000124,N0000000124,0
N0000000124,N0000000083,1
N0000000083,N0000000083,0
N0000000223,N0000000153,3
N0000000223,N0000000092,4
N0000000223,N0000000099,5
N0000000223,N0000009919,6
N0000000085,N0000000153,2
N0000000085,N0000000092,3
N0000000085,N0000000099,4
N0000000085,N0000009919,5
N0000000152,N0000000153,1
N0000000152,N0000000092,2
N0000000152,N0000000099,3
N0000000152,N0000009919,4
N0000000153,N0000000153,0
N0000000153,N0000000092,1
N0000000153,N0000000099,2
N0000000153,N0000009919,3
N0000000092,N0000000092,0
N0000000092,N0000000099,1
N0000000092,N0000009919,2
N0000000099,N0000000099,0
N0000000099,N0000009919,1
N0000009919,N0000009919,0
N0000000223,N0000009920,6
N0000000085,N0000009920,5
N0000000152,N0000009920,4
N0000000153,N0000009920,3
N0000000092,N0000009920,2
N0000000099,N0000009920,1
N0000009920,N0000009920,0
N0000000223,N0000000161,5
N0000000223,N0000009923,6
N0000000085,N0000000161,4
N0000000085,N0000009923,5
N0000000152,N0000000161,3
N0000000152,N0000009923,4
N0000000153,N0000000161,2
N0000000153,N0000009923,3
N0000000092,N0000000161,1
N0000000092,N0000009923,2
N0000000161,N0000000161,0
N0000000161,N0000009923,1
N0000009923,N0000009923,0
N0000000223,N0000009924,6
N0000000085,N0000009924,5
N0000000152,N0000009924,4
N0000000153,N0000009924,3
N0000000092,N0000009924,2
N0000000161,N0000009924,1
N0000009924,N0000009924,0
N0000000223,N0000000122,4
N0000000223,N0000000209,5
N0000000223,N0000009917,6
N0000000085,N0000000122,3
N0000000085,N0000000209,4
N0000000085,N0000009917,5
N0000000152,N0000000122,2
N0000000152,N0000000209,3
N0000000152,N0000009917,4
N0000000153,N0000000122,1
N0000000153,N0000000209,2
N0000000153,N0000009917,3
N0000000122,N0000000122,0
N0000000122,N0000000209,1
N0000000122,N0000009917,2
N0000000209,N0000000209,0
N0000000209,N0000009917,1
N0000009917,N0000009917,0
N0000000223,N0000009918,6
N0000000085,N0000009918,5
N0000000152,N0000009918,4
N0000000153,N0000009918,3
N0000000122,N0000009918,2
N0000000209,N0000009918,1
N0000009918,N0000009918,0
N0000000223,N0000000245,5
N0000000223,N0000009921,6
N0000000085,N0000000245,4
N0000000085,N0000009921,5
N0000000152,N0000000245,3
N0000000152,N0000009921,4
N0000000153,N0000000245,2
N0000000153,N0000009921,3
N0000000122,N0000000245,1
N0000000122,N0000009921,2
N0000000245,N0000000245,0
N0000000245,N0000009921,1
N0000009921,N0000009921,0
N0000000223,N0000009922,6
N0000000085,N0000009922,5
N0000000152,N0000009922,4
N0000000153,N0000009922,3
N0000000122,N0000009922,2
N0000000245,N0000009922,1
N0000009922,N0000009922,0
N0000000223,N0000185007,6
N0000000085,N0000185007,5
N0000000152,N0000185007,4
N0000000153,N0000185007,3
N0000000122,N0000185007,2
N0000000245,N0000185007,1
N0000185007,N0000185007,0
N0000000223,N0000000097,3
N0000000223,N0000000104,4
N0000000085,N0000000097,2
N0000000085,N0000000104,3
N0000000152,N0000000097,1
N0000000152,N0000000104,2
N0000000097,N0000000097,0
N0000000097,N0000000104,1
N0000000104,N0000000104,0
N0000000223,N0000000125,4
N0000000085,N0000000125,3
N0000000152,N0000000125,2
N0000000097,N0000000125,1
N0000000125,N0000000125,0
N0000000223,N0000000131,3
N0000000223,N0000000106,4
N0000000223,N0000020068,5
N0000000085,N0000000131,2
N0000000085,N0000000106,3
N0000000085,N0000020068,4
N0000000152,N0000000131,1
N0000000152,N0000000106,2
N0000000152,N0000020068,3
N0000000131,N0000000131,0
N0000000131,N0000000106,1
N0000000131,N0000020068,2
N0000000106,N0000000106,0
N0000000106,N0000020068,1
N0000020068,N0000020068,0
N0000000223,N0000000108,4
N0000000085,N0000000108,3
N0000000152,N0000000108,2
N0000000131,N0000000108,1
N0000000108,N0000000108,0
N0000000223,N0000000216,3
N0000000223,N0000000112,4
N0000000085,N0000000216,2
N0000000085,N0000000112,3
N0000000152,N0000000216,1
N0000000152,N0000000112,2
N0000000216,N0000000216,0
N0000000216,N0000000112,1
N0000000112,N0000000112,0
N0000000223,N0000000207,4
N0000000223,N0000000151,5
N0000000085,N0000000207,3
N0000000085,N0000000151,4
N0000000152,N0000000207,2
N0000000152,N0000000151,3
N0000000216,N0000000207,1
N0000000216,N0000000151,2
N0000000207,N0000000207,0
N0000000207,N0000000151,1
N0000000151,N0000000151,0
N0000000223,N0000000190,5
N0000000085,N0000000190,4
N0000000152,N0000000190,3
N0000000216,N0000000190,2
N0000000207,N0000000190,1
N0000000190,N0000000190,0
N0000000223,N0000181003,5
N0000000085,N0000181003,4
N0000000152,N0000181003,3
N0000000216,N0000181003,2
N0000000207,N0000181003,1
N0000181003,N0000181003,0
N0000000223,N0000000204,3
N0000000223,N0000000116,4
N0000000085,N0000000204,2
N0000000085,N0000000116,3
N0000000152,N0000000204,1
N0000000152,N0000000116,2
N0000000204,N0000000204,0
N0000000204,N0000000116,1
N0000000116,N0000000116,0
N0000000223,N0000000229,4
N0000000085,N0000000229,3
N0000000152,N0000000229,2
N0000000204,N0000000229,1
N0000000229,N0000000229,0
N0000000223,N0000000251,4
N0000000085,N0000000251,3
N0000000152,N0000000251,2
N0000000204,N0000000251,1
N0000000251,N0000000251,0
N0000000223,N0000000203,3
N0000000223,N0000000117,4
N0000000085,N0000000203,2
N0000000085,N0000000117,3
N0000000152,N0000000203,1
N0000000152,N0000000117,2
N0000000203,N0000000203,0
N0000000203,N0000000117,1
N0000000117,N0000000117,0
N0000000223,N0000000230,4
N0000000223,N0000175799,5
N0000000085,N0000000230,3
N0000000085,N0000175799,4
N0000000152,N0000000230,2
N0000000152,N0000175799,3
N0000000203,N0000000230,1
N0000000203,N0000175799,2
N0000000230,N0000000230,0
N0000000230,N0000175799,1
N0000175799,N0000175799,0
N0000000223,N0000000123,3
N0000000223,N0000000250,4
N0000000085,N0000000123,2
N0000000085,N0000000250,3
N0000000152,N0000000123,1
N0000000152,N0000000250,2
N0000000123,N0000000123,0
N0000000123,N0000000250,1
N0000000250,N0000000250,0
N0000000223,N0000000198,3
N0000000223,N0000000130,4
N0000000223,N0000175816,5
N0000000085,N0000000198,2
N0000000085,N0000000130,3
N0000000085,N0000175816,4
N0000000152,N0000000198,1
N0000000152,N0000000130,2
N0000000152,N0000175816,3
N0000000198,N0000000198,0
N0000000198,N0000000130,1
N0000000198,N0000175816,2
N0000000130,N0000000130,0
N0000000130,N0000175816,1
N0000175816,N0000175816,0
N0000000223,N0000175817,5
N0000000085,N0000175817,4
N0000000152,N0000175817,3
N0000000198,N0000175817,2
N0000000130,N0000175817,1
N0000175817,N0000175817,0
N0000000223,N0000000256,4
N0000000223,N0000175763,5
N0000000085,N0000000256,3
N0000000085,N0000175763,4
N0000000152,N0000000256,2
N0000000152,N0000175763,3
N0000000198,N0000000256,1
N0000000198,N0000175763,2
N0000000256,N0000000256,0
N0000000256,N0000175763,1
N0000175763,N0000175763,0
N0000000223,N0000175764,5
N0000000085,N0000175764,4
N0000000152,N0000175764,3
N0000000198,N0000175764,2
N0000000256,N0000175764,1
N0000175764,N0000175764,0
N0000000223,N0000185009,5
N0000000085,N0000185009,4
N0000000152,N0000185009,3
N0000000198,N0000185009,2
N0000000256,N0000185009,1
N0000185009,N0000185009,0
N0000000223,N0000193868,5
N0000000223,N0000193869,6
N0000000085,N0000193868,4
N0000000085,N0000193869,5
N0000000152,N0000193868,3
N0000000152,N0000193869,4
N0000000198,N0000193868,2
N0000000198,N0000193869,3
N0000000256,N0000193868,1
N0000000256,N0000193869,2
N0000193868,N0000193868,0
N0000193868,N0000193869,1
N0000193869,N0000193869,0
N0000000223,N0000193870,5
N0000000085,N0000193870,4
N0000000152,N0000193870,3
N0000000198,N0000193870,2
N0000000256,N0000193870,1
N0000193870,N0000193870,0
N0000000223,N0000000141,3
N0000000223,N0000000165,4
N0000000085,N0000000141,2
N0000000085,N0000000165,3
N0000000152,N0000000141,1
N0000000152,N0000000165,2
N0000000141,N0000000141,0
N0000000141,N0000000165,1
N0000000165,N0000000165,0
N0000000223,N0000000249,4
N0000000223,N0000020044,5
N0000000223,N0000193178,6
N0000000085,N0000000249,3
N0000000085,N0000020044,4
N0000000085,N0000193178,5
N0000000152,N0000000249,2
N0000000152,N0000020044,3
N0000000152,N0000193178,4
N0000000141,N0000000249,1
N0000000141,N0000020044,2
N0000000141,N0000193178,3
N0000000249,N0000000249,0
N0000000249,N0000020044,1
N0000000249,N0000193178,2
N0000020044,N0000020044,0
N0000020044,N0000193178,1
N0000193178,N0000193178,0
N0000000223,N0000193179,6
N0000000085,N0000193179,5
N0000000152,N0000193179,4
N0000000141,N0000193179,3
N0000000249,N0000193179,2
N0000020044,N0000193179,1
N0000193179,N0000193179,0
N0000000223,N0000193180,6
N0000000085,N0000193180,5
N0000000152,N0000193180,4
N0000000141,N0000193180,3
N0000000249,N0000193180,2
N0000020044,N0000193180,1
N0000193180,N0000193180,0
N0000000223,N0000000200,3
N0000000223,N0000000154,4
N0000000223,N0000175686,5
N0000000085,N0000000200,2
N0000000085,N0000000154,3
N0000000085,N0000175686,4
N0000000152,N0000000200,1
N0000000152,N0000000154,2
N0000000152,N0000175686,3
N0000000200,N0000000200,0
N0000000200,N0000000154,1
N0000000200,N0000175686,2
N0000000154,N0000000154,0
N0000000154,N0000175686,1
N0000175686,N0000175686,0
N0000000223,N0000175687,5
N0000000085,N0000175687,4
N0000000152,N0000175687,3
N0000000200,N0000175687,2
N0000000154,N0000175687,1
N0000175687,N0000175687,0
N0000000223,N0000000174,4
N0000000223,N0000175684,5
N0000000223,N0000191866,6
N0000000085,N0000000174,3
N0000000085,N0000175684,4
N0000000085,N0000191866,5
N0000000152,N0000000174,2
N0000000152,N0000175684,3
N0000000152,N0000191866,4
N0000000200,N0000000174,1
N0000000200,N0000175684,2
N0000000200,N0000191866,3
N0000000174,N0000000174,0
N0000000174,N0000175684,1
N0000000174,N0000191866,2
N0000175684,N0000175684,0
N0000175684,N0000191866,1
N0000191866,N0000191866,0
N0000000223,N0000175685,5
N0000000085,N0000175685,4
N0000000152,N0000175685,3
N0000000200,N0000175685,2
N0000000174,N0000175685,1
N0000175685,N0000175685,0
N0000000223,N0000000218,3
N0000000223,N0000000194,4
N0000000085,N0000000218,2
N0000000085,N0000000194,3
N0000000152,N0000000218,1
N0000000152,N0000000194,2
N0000000218,N0000000218,0
N0000000218,N0000000194,1
N0000000194,N0000000194,0
N0000000223,N0000010261,3
N0000000223,N0000010262,4
N0000000085,N0000010261,2
N0000000085,N0000010262,3
N0000000152,N0000010261,1
N0000000152,N0000010262,2
N0000010261,N0000010261,0
N0000010261,N0000010262,1
N0000010262,N0000010262,0
N0000000223,N0000010275,3
N0000000223,N0000020057,4
N0000000223,N0000020058,5
N0000000085,N0000010275,2
N0000000085,N0000020057,3
N0000000085,N0000020058,4
N0000000152,N0000010275,1
N0000000152,N0000020057,2
N0000000152,N0000020058,3
N0000010275,N0000010275,0
N0000010275,N0000020057,1
N0000010275,N0000020058,2
N0000020057,N0000020057,0
N0000020057,N0000020058,1
N0000020058,N0000020058,0
N0000000223,N0000020059,5
N0000000085,N0000020059,4
N0000000152,N0000020059,3
N0000010275,N0000020059,2
N0000020057,N0000020059,1
N0000020059,N0000020059,0
N0000000223,N0000190989,4
N0000000223,N0000190990,5
N0000000085,N0000190989,3
N0000000085,N0000190990,4
N0000000152,N0000190989,2
N0000000152,N0000190990,3
N0000010275,N0000190989,1
N0000010275,N0000190990,2
N0000190989,N0000190989,0
N0000190989,N0000190990,1
N0000190990,N0000190990,0
N0000000223,N0000190991,5
N0000000085,N0000190991,4
N0000000152,N0000190991,3
N0000010275,N0000190991,2
N0000190989,N0000190991,1
N0000190991,N0000190991,0
N0000000223,N0000019992,3
N0000000223,N0000019993,4
N0000000085,N0000019992,2
N0000000085,N0000019993,3
N0000000152,N0000019992,1
N0000000152,N0000019993,2
N0000019992,N0000019992,0
N0000019992,N0000019993,1
N0000019993,N0000019993,0
N0000000223,N0000019994,4
N0000000085,N0000019994,3
N0000000152,N0000019994,2
N0000019992,N0000019994,1
N0000019994,N0000019994,0
N0000000223,N0000020077,3
N0000000223,N0000020078,4
N0000000085,N0000020077,2
N0000000085,N0000020078,3
N0000000152,N0000020077,1
N0000000152,N0000020078,2
N0000020077,N0000020077,0
N0000020077,N0000020078,1
N0000020078,N0000020078,0
N0000000223,N0000020079,4
N0000000085,N0000020079,3
N0000000152,N0000020079,2
N0000020077,N0000020079,1
N0000020079,N0000020079,0
N0000000223,N0000020080,3
N0000000223,N0000020081,4
N0000000085,N0000020080,2
N0000000085,N0000020081,3
N0000000152,N0000020080,1
N0000000152,N0000020081,2
N0000020080,N0000020080,0
N0000020080,N0000020081,1
N0000020081,N0000020081,0
N0000000223,N0000020082,4
N0000000085,N0000020082,3
N0000000152,N0000020082,2
N0000020080,N0000020082,1
N0000020082,N0000020082,0
N0000000223,N0000175362,3
N0000000223,N0000175363,4
N0000000085,N0000175362,2
N0000000085,N0000175363,3
N0000000152,N0000175362,1
N0000000152,N0000175363,2
N0000175362,N0000175362,0
N0000175362,N0000175363,1
N0000175363,N0000175363,0
N0000000223,N0000175364,4
N0000000085,N0000175364,3
N0000000152,N0000175364,2
N0000175362,N0000175364,1
N0000175364,N0000175364,0
N0000000223,N0000175787,3
N0000000223,N0000175788,4
N0000000085,N0000175787,2
N0000000085,N0000175788,3
N0000000152,N0000175787,1
N0000000152,N0000175788,2
N0000175787,N0000175787,0
N0000175787,N0000175788,1
N0000175788,N0000175788,0
N0000000223,N0000175789,4
N0000000223,N0000182143,5
N0000000085,N0000175789,3
N0000000085,N0000182143,4
N0000000152,N0000175789,2
N0000000152,N0000182143,3
N0000175787,N0000175789,1
N0000175787,N0000182143,2
N0000175789,N0000175789,0
N0000175789,N0000182143,1
N0000182143,N0000182143,0
N0000000223,N0000181007,3
N0000000223,N0000181008,4
N0000000085,N0000181007,2
N0000000085,N0000181008,3
N0000000152,N0000181007,1
N0000000152,N0000181008,2
N0000181007,N0000181007,0
N0000181007,N0000181008,1
N0000181008,N0000181008,0
N0000000223,N0000181009,4
N0000000085,N0000181009,3
N0000000152,N0000181009,2
N0000181007,N0000181009,1
N0000181009,N0000181009,0
N0000000223,N0000181812,3
N0000000223,N0000181813,4
N0000000223,N0000181814,5
N0000000223,N0000181815,6
N0000000085,N0000181812,2
N0000000085,N0000181813,3
N0000000085,N0000181814,4
N0000000085,N0000181815,5
N0000000152,N0000181812,1
N0000000152,N0000181813,2
N0000000152,N0000181814,3
N0000000152,N0000181815,4
N0000181812,N0000181812,0
N0000181812,N0000181813,1
N0000181812,N0000181814,2
N0000181812,N0000181815,3
N0000181813,N0000181813,0
N0000181813,N0000181814,1
N0000181813,N0000181815,2
N0000181814,N0000181814,0
N0000181814,N0000181815,1
N0000181815,N0000181815,0
N0000000223,N0000182962,3
N0000000223,N0000182963,4
N0000000223,N0000182964,5
N0000000085,N0000182962,2
N0000000085,N0000182963,3
N0000000085,N0000182964,4
N0000000152,N0000182962,1
N0000000152,N0000182963,2
N0000000152,N0000182964,3
N0000182962,N0000182962,0
N0000182962,N0000182963,1
N0000182962,N0000182964,2
N0000182963,N0000182963,0
N0000182963,N0000182964,1
N0000182964,N0000182964,0
N0000000223,N0000184147,3
N0000000223,N0000184148,4
N0000000085,N0000184147,2
N0000000085,N0000184148,3
N0000000152,N0000184147,1
N0000000152,N0000184148,2
N0000184147,N0000184147,0
N0000184147,N0000184148,1
N0000184148,N0000184148,0
N0000000223,N0000190993,3
N0000000223,N0000190994,4
N0000000223,N0000190995,5
N0000000085,N0000190993,2
N0000000085,N0000190994,3
N0000000085,N0000190995,4
N0000000152,N0000190993,1
N0000000152,N0000190994,2
N0000000152,N0000190995,3
N0000190993,N0000190993,0
N0000190993,N0000190994,1
N0000190993,N0000190995,2
N0000190994,N0000190994,0
N0000190994,N0000190995,1
N0000190995,N0000190995,0
N0000000223,N0000190997,3
N0000000223,N0000190998,4
N0000000085,N0000190997,2
N0000000085,N0000190998,3
N0000000152,N0000190997,1
N0000000152,N0000190998,2
N0000190997,N0000190997,0
N0000190997,N0000190998,1
N0000190998,N0000190998,0
N0000000223,N0000190999,4
N0000000085,N0000190999,3
N0000000152,N0000190999,2
N0000190997,N0000190999,1
N0000190999,N0000190999,0
N0000000223,N0000193787,3
N0000000223,N0000193786,4
N0000000085,N0000193787,2
N0000000085,N0000193786,3
N0000000152,N0000193787,1
N0000000152,N0000193786,2
N0000193787,N0000193787,0
N0000193787,N0000193786,1
N0000193786,N0000193786,0
N0000000223,N0000193942,3
N0000000223,N0000193941,4
N0000000085,N0000193942,2
N0000000085,N0000193941,3
N0000000152,N0000193942,1
N0000000152,N0000193941,2
N0000193942,N0000193942,0
N0000193942,N0000193941,1
N0000193941,N0000193941,0
N0000000223,N0000193975,3
N0000000223,N0000193974,4
N0000000085,N0000193975,2
N0000000085,N0000193974,3
N0000000152,N0000193975,1
N0000000152,N0000193974,2
N0000193975,N0000193975,0
N0000193975,N0000193974,1
N0000193974,N0000193974,0
N0000000223,N0000000193,2
N0000000223,N0000000140,3
N0000000223,N0000000069,4
N0000000223,N0000020065,5
N0000000085,N0000000193,1
N0000000085,N0000000140,2
N0000000085,N0000000069,3
N0000000085,N0000020065,4
N0000000193,N0000000193,0
N0000000193,N0000000140,1
N0000000193,N0000000069,2
N0000000193,N0000020065,3
N0000000140,N0000000140,0
N0000000140,N0000000069,1
N0000000140,N0000020065,2
N0000000069,N0000000069,0
N0000000069,N0000020065,1
N0000020065,N0000020065,0
N0000000223,N0000020066,5
N0000000085,N0000020066,4
N0000000193,N0000020066,3
N0000000140,N0000020066,2
N0000000069,N0000020066,1
N0000020066,N0000020066,0
N0000000223,N0000020067,5
N0000000085,N0000020067,4
N0000000193,N0000020067,3
N0000000140,N0000020067,2
N0000000069,N0000020067,1
N0000020067,N0000020067,0
N0000000223,N0000020069,5
N0000000085,N0000020069,4
N0000000193,N0000020069,3
N0000000140,N0000020069,2
N0000000069,N0000020069,1
N0000020069,N0000020069,0
N0000000223,N0000000259,4
N0000000085,N0000000259,3
N0000000193,N0000000259,2
